RNA Tumor Sample Barcode,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,pValue,Correlation,RMSE,Absolute score (sig.score),aDC,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ memory T-cells,CD4+ naive T-cells,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD8+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,cDC,Chondrocytes,Class-switched memory B-cells,CLP,CMP,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,Hepatocytes,HSC,iDC,Keratinocytes,ly Endothelial cells,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,MEP,Mesangial cells,Monocytes,MPP,MSC,mv Endothelial cells,Myocytes,naive B-cells,Neurons,Neutrophils,NK cells,NKT,Osteoblast,pDC,Pericytes,Plasma cells,Platelets,Preadipocytes,pro B-cells,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,ImmuneScore,StromaScore,MicroenvironmentScore
CRC.SW.U0001.T,0.022311 ,0.000000 ,0.070014 ,0.008386 ,0.000000 ,0.149697 ,0.000000 ,0.014081 ,0.003233 ,0.000000 ,0.028359 ,0.000000 ,0.000000 ,0.138432 ,0.026435 ,0.072108 ,0.000000 ,0.000000 ,0.000000 ,0.036248 ,0.000000 ,0.000000 ,0.018000 ,0.236403 ,0.992208 ,0.569304 ,0.266545 ,0.122754 ,0.972799 ,0.000000 ,0.000000 ,0.072758 ,0.000000 ,0.001405 ,0.000000 ,0.000000 ,0.032481 ,0.000000 ,0.040877 ,0.000000 ,0.504431 ,0.280125 ,0.000000 ,0.167006 ,0.000000 ,0.084336 ,1.039194 ,0.002955 ,0.089802 ,0.000883 ,0.786210 ,0.000000 ,0.005676 ,1.043853 ,1.001986 ,0.000000 ,0.953653 ,0.184992 ,0.185963 ,0.000110 ,0.000000 ,0.009553 ,0.032040 ,0.000000 ,0.209438 ,0.251534 ,0.112819 ,0.000000 ,0.019955 ,0.383934 ,0.000839 ,0.000000 ,0.029184 ,0.046768 ,0.000000 ,0.356715 ,0.198957 ,0.000000 ,0.795932 ,0.089229 ,0.000000 ,0.000000 ,0.000000 ,0.018018 ,0.018427 ,1.093410 ,0.000000 ,0.777110 ,0.491433 ,0.143005 ,0.288850 ,0.974079 ,1.262929 
CRC.SW.U0002.T,0.029592 ,0.000000 ,0.069399 ,0.003972 ,0.000000 ,0.077389 ,0.000270 ,0.025570 ,0.030618 ,0.000000 ,0.011258 ,0.000000 ,0.000000 ,0.148958 ,0.027808 ,0.054005 ,0.000000 ,0.004484 ,0.007271 ,0.005094 ,0.000000 ,0.000000 ,0.013000 ,0.285880 ,0.972936 ,0.495689 ,0.592080 ,0.000000 ,0.482301 ,0.149420 ,0.523151 ,0.102687 ,0.074973 ,0.085832 ,0.000000 ,0.263570 ,0.193873 ,0.073380 ,0.143674 ,0.000000 ,0.469378 ,0.145645 ,0.234490 ,0.185019 ,0.000000 ,0.246878 ,0.202823 ,0.116917 ,0.117386 ,0.017216 ,0.651745 ,0.000000 ,0.025606 ,0.676740 ,1.345698 ,0.032511 ,0.229199 ,0.154972 ,0.081137 ,0.173255 ,0.035722 ,0.086113 ,0.071115 ,0.000000 ,0.097739 ,0.192430 ,0.000000 ,0.000000 ,0.893434 ,0.053329 ,0.017924 ,0.000000 ,0.029035 ,0.000000 ,0.035014 ,0.667173 ,0.000000 ,0.333049 ,0.521904 ,0.084841 ,0.033190 ,0.271381 ,0.063295 ,0.063105 ,0.105472 ,0.533460 ,0.000000 ,0.812435 ,0.248132 ,0.236437 ,0.598756 ,0.427284 ,1.026041 
CRC.SW.U0004.T,0.002287 ,0.000000 ,0.038068 ,0.040506 ,0.000000 ,0.088906 ,0.009105 ,0.011817 ,0.017640 ,0.000000 ,0.013734 ,0.000259 ,0.004424 ,0.091916 ,0.019638 ,0.063955 ,0.008769 ,0.000000 ,0.000000 ,0.021998 ,0.000000 ,0.000000 ,0.054000 ,0.149253 ,1.028462 ,0.433024 ,0.031466 ,0.009411 ,0.524052 ,0.000000 ,0.000000 ,0.055615 ,0.096544 ,0.068063 ,0.000000 ,0.000000 ,0.180998 ,0.394481 ,0.312936 ,0.000000 ,0.334017 ,0.050938 ,0.000000 ,0.557715 ,0.000000 ,0.038801 ,0.466706 ,0.000000 ,0.055828 ,0.000000 ,0.651756 ,0.000000 ,0.000000 ,0.632601 ,0.591083 ,0.004598 ,0.333206 ,0.113622 ,0.090810 ,0.000591 ,0.000000 ,0.033271 ,0.023361 ,0.000000 ,0.147537 ,0.321922 ,0.000000 ,0.000000 ,0.000000 ,0.138841 ,0.000000 ,0.000000 ,0.056734 ,0.000000 ,0.000000 ,0.658005 ,0.433289 ,0.310446 ,0.678655 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.027674 ,0.000000 ,1.549864 ,0.000000 ,0.955986 ,0.122954 ,0.132909 ,0.409978 ,0.563936 ,0.973914 
CRC.SW.U0005.T,0.001360 ,0.015350 ,0.040322 ,0.021306 ,0.000000 ,0.130073 ,0.000000 ,0.020958 ,0.000000 ,0.000000 ,0.007124 ,0.004841 ,0.006367 ,0.064062 ,0.002265 ,0.052855 ,0.003169 ,0.002278 ,0.005987 ,0.014164 ,0.009194 ,0.000000 ,0.021000 ,0.213301 ,1.000962 ,0.401676 ,0.358108 ,0.009446 ,0.602012 ,0.011307 ,0.095163 ,0.277789 ,0.000000 ,0.002532 ,0.007713 ,0.361674 ,0.055275 ,0.060068 ,0.050931 ,0.000000 ,0.709339 ,0.366671 ,0.065199 ,0.573377 ,0.000000 ,0.136945 ,0.641137 ,0.000000 ,0.231987 ,0.000000 ,0.933011 ,0.000000 ,0.010425 ,0.954061 ,1.363579 ,0.068820 ,0.670713 ,0.175806 ,0.161898 ,0.096151 ,0.110792 ,0.014985 ,0.022124 ,0.033798 ,0.059891 ,0.195626 ,0.102679 ,0.000000 ,0.481828 ,0.217732 ,0.038814 ,0.058069 ,0.062408 ,0.000000 ,0.000000 ,0.257833 ,0.000000 ,0.109932 ,0.834687 ,0.047140 ,0.000000 ,0.000000 ,0.074691 ,0.113187 ,0.069564 ,1.372826 ,0.000000 ,0.273841 ,0.000000 ,0.178967 ,0.400087 ,0.791797 ,1.191884 
CRC.SW.U0006.T,0.005995 ,0.000000 ,0.014795 ,0.000000 ,0.000000 ,0.036578 ,0.000000 ,0.000000 ,0.011515 ,0.000000 ,0.010604 ,0.000000 ,0.000000 ,0.109198 ,0.000948 ,0.046100 ,0.000000 ,0.005581 ,0.000000 ,0.027428 ,0.000000 ,0.001326 ,0.059000 ,0.142766 ,1.062028 ,0.270069 ,0.197345 ,0.663762 ,0.000000 ,0.000000 ,0.805496 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.085993 ,0.000000 ,0.000000 ,0.000000 ,0.342801 ,0.041651 ,0.000000 ,0.342831 ,0.012368 ,0.089954 ,0.297639 ,0.023086 ,0.236541 ,0.048418 ,0.214215 ,0.000000 ,0.088245 ,1.186210 ,0.644332 ,0.110174 ,0.391942 ,0.469579 ,0.154000 ,0.255908 ,0.050153 ,0.049977 ,0.045893 ,0.000000 ,0.085778 ,0.149272 ,0.000000 ,0.000000 ,0.459164 ,0.117755 ,0.118373 ,0.000000 ,0.088854 ,0.004732 ,0.000000 ,0.485024 ,0.000000 ,0.402033 ,0.217645 ,0.142699 ,0.000000 ,0.167383 ,0.306842 ,0.111934 ,0.242718 ,1.115226 ,0.000000 ,0.127702 ,0.351783 ,0.000000 ,0.425002 ,0.587808 ,1.012810 
CRC.SW.U0007.T,0.007707 ,0.000000 ,0.027498 ,0.013739 ,0.000000 ,0.136070 ,0.007569 ,0.005062 ,0.016675 ,0.000000 ,0.022294 ,0.000000 ,0.001199 ,0.054548 ,0.002311 ,0.049543 ,0.004611 ,0.011486 ,0.000000 ,0.025451 ,0.000000 ,0.002149 ,0.059000 ,0.141184 ,1.033177 ,0.387912 ,0.223361 ,0.216503 ,0.036112 ,0.000000 ,0.373713 ,0.125664 ,0.077019 ,0.000000 ,0.000000 ,0.000000 ,0.176407 ,0.008505 ,0.000000 ,0.000000 ,0.233278 ,0.050507 ,0.000000 ,0.649517 ,0.000000 ,0.070538 ,0.734974 ,0.000000 ,0.256758 ,0.045813 ,0.175854 ,0.000000 ,0.011319 ,1.255560 ,0.658181 ,0.054537 ,0.627296 ,0.000000 ,0.000000 ,0.019373 ,0.025040 ,0.001473 ,0.039651 ,0.000000 ,0.170915 ,0.000000 ,0.000000 ,0.000000 ,0.595877 ,0.305422 ,0.014066 ,0.000000 ,0.073754 ,0.000000 ,0.000000 ,0.895489 ,0.213502 ,0.294553 ,0.456201 ,0.008323 ,0.000000 ,0.000000 ,0.000000 ,0.149091 ,0.043117 ,0.911052 ,0.000000 ,1.615372 ,0.683871 ,0.016722 ,0.069389 ,0.563665 ,0.633054 
CRC.SW.U0008.T,0.028590 ,0.000000 ,0.117368 ,0.033183 ,0.000000 ,0.134331 ,0.011642 ,0.034626 ,0.014338 ,0.000000 ,0.001340 ,0.006984 ,0.000000 ,0.063040 ,0.032726 ,0.079886 ,0.000000 ,0.005143 ,0.025306 ,0.000000 ,0.000000 ,0.003546 ,0.001000 ,0.439313 ,0.897799 ,0.592050 ,0.444541 ,0.130598 ,0.000000 ,1.069828 ,0.056329 ,0.618484 ,0.438637 ,0.160648 ,0.000000 ,0.052915 ,0.210324 ,0.470979 ,0.446254 ,0.000000 ,0.533578 ,0.000000 ,0.468877 ,1.105589 ,0.000000 ,0.212350 ,0.164312 ,0.000000 ,0.254363 ,0.000000 ,0.470936 ,0.000000 ,0.013446 ,1.057679 ,2.732201 ,0.054333 ,0.124923 ,0.100247 ,0.060250 ,0.021904 ,0.205005 ,0.016139 ,0.075437 ,0.202764 ,0.159468 ,0.247619 ,0.000000 ,0.000000 ,0.071185 ,0.086795 ,0.025816 ,0.221216 ,0.008644 ,0.000000 ,0.000000 ,0.669922 ,0.150995 ,0.550900 ,0.216926 ,0.257847 ,0.000000 ,0.050410 ,0.209644 ,0.098097 ,0.044394 ,1.535445 ,0.000000 ,1.081096 ,0.195005 ,0.103299 ,1.479372 ,0.382923 ,1.862294 
CRC.SW.U0012.T,0.000000 ,0.004452 ,0.045834 ,0.026676 ,0.000000 ,0.084062 ,0.000000 ,0.026085 ,0.030107 ,0.000000 ,0.024986 ,0.000000 ,0.000000 ,0.131102 ,0.011605 ,0.061851 ,0.000000 ,0.000000 ,0.000000 ,0.070210 ,0.000000 ,0.015610 ,0.057000 ,0.147166 ,1.033919 ,0.532581 ,0.156271 ,0.008259 ,0.617633 ,0.000000 ,0.000000 ,0.036804 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.040431 ,0.000000 ,0.000000 ,0.000000 ,0.743515 ,0.290026 ,0.056179 ,0.236016 ,0.000000 ,0.185948 ,0.769248 ,0.008220 ,0.275004 ,0.004005 ,0.975298 ,0.000000 ,0.000000 ,1.398479 ,1.455142 ,0.029313 ,0.761608 ,0.333619 ,0.225103 ,0.126890 ,0.000000 ,0.016514 ,0.014087 ,0.000000 ,0.095974 ,0.154617 ,0.107450 ,0.000000 ,0.612627 ,0.412220 ,0.000000 ,0.000000 ,0.048942 ,0.049815 ,0.000000 ,0.700632 ,0.191328 ,0.094108 ,0.518466 ,0.037865 ,0.000000 ,0.000000 ,0.000000 ,0.084504 ,0.013760 ,1.637842 ,0.000000 ,0.932127 ,0.097722 ,0.000000 ,0.456702 ,0.876402 ,1.333105 
CRC.SW.U0020.T,0.000268 ,0.011383 ,0.071632 ,0.064322 ,0.000000 ,0.158500 ,0.003970 ,0.023322 ,0.004217 ,0.000000 ,0.030813 ,0.000000 ,0.025381 ,0.038423 ,0.044150 ,0.077948 ,0.025626 ,0.000000 ,0.005600 ,0.031899 ,0.007770 ,0.000000 ,0.020000 ,0.217739 ,0.994563 ,0.625224 ,0.489685 ,0.052939 ,0.517483 ,0.227952 ,0.115910 ,0.353781 ,0.100719 ,0.139374 ,0.000000 ,0.375254 ,0.081003 ,0.389162 ,0.170445 ,0.061538 ,1.160793 ,0.208416 ,0.006730 ,0.057574 ,0.145493 ,0.277690 ,0.207243 ,0.308926 ,0.301885 ,0.020449 ,0.617969 ,0.287065 ,0.000000 ,0.587924 ,1.533327 ,0.005392 ,0.227597 ,0.312480 ,0.163191 ,0.114353 ,0.342169 ,0.006241 ,0.092012 ,0.002430 ,0.212316 ,0.229417 ,0.047618 ,0.000000 ,0.757326 ,0.070574 ,0.071734 ,0.040502 ,0.030448 ,0.000000 ,0.000000 ,0.309117 ,0.000000 ,0.210258 ,0.610637 ,0.145067 ,0.000000 ,0.000000 ,0.018310 ,0.092316 ,0.077473 ,1.221769 ,0.000000 ,0.252963 ,0.420155 ,0.267595 ,1.363582 ,0.439076 ,1.802657 
CRC.SW.U0023.T,0.020301 ,0.000000 ,0.085423 ,0.041744 ,0.000000 ,0.120177 ,0.013070 ,0.001129 ,0.009630 ,0.000000 ,0.037256 ,0.000000 ,0.000000 ,0.105119 ,0.017670 ,0.127646 ,0.000000 ,0.000834 ,0.000000 ,0.034734 ,0.013064 ,0.029929 ,0.015000 ,0.245311 ,0.983352 ,0.657727 ,0.126828 ,0.046221 ,0.494345 ,0.030933 ,0.000000 ,0.256784 ,0.000000 ,0.000000 ,0.000000 ,0.017723 ,0.137692 ,0.423951 ,0.471038 ,0.000000 ,0.375322 ,0.247257 ,0.000000 ,0.598383 ,0.000000 ,0.095812 ,0.470480 ,0.131502 ,0.198852 ,0.000000 ,1.297052 ,0.000000 ,0.000000 ,0.822311 ,1.238939 ,0.048510 ,0.512822 ,0.310227 ,0.192217 ,0.104397 ,0.136348 ,0.037005 ,0.033851 ,0.030012 ,0.106825 ,0.255287 ,0.205418 ,0.000000 ,0.234176 ,0.169340 ,0.072573 ,0.006406 ,0.053984 ,0.279760 ,0.000000 ,0.435245 ,0.238958 ,0.167662 ,0.628336 ,0.109619 ,0.000000 ,0.059348 ,0.019356 ,0.030235 ,0.111340 ,1.741055 ,0.000000 ,0.789967 ,0.525079 ,0.171249 ,1.075967 ,0.906876 ,1.982844 
